,Usuario,Tweet
48,Consuela_Hamok,RT @AbogadoDijo: Veníamos en el auto con hije por Libertador frente a la ESMA cuando nos enteramos que Larreta autorizó el uso de las Taser…
49,GlaYorg,RT @RatingLucca: ¿Tinelli ahora está con Larreta 👀? https://t.co/XIXbZu2IKQ
50,Red_JM_,Yo no puedo creer como tantos militantes del pro con los que he hablado sobre lo paupérrimo que es Larreta ahora lo apoyan abiertamente.
51,agseijo1,"D’Alessandro- Larreta Sólo por el blindaje mediático y judicial, no es un escándalo 👇 https://t.co/bhSAQs5gh6"
52,jorgerobertob13,"RT @AgenciaTelam: Informe de la Auditoría porteña | Descubren ""múltiples irregularidades"" en las compras que hizo Larreta por la pandemia h…"
53,morandi_oscar,"No me gusta Rodríguez Larreta , me huele a traición https://t.co/Lm8djVmPKe"
54,jotaka_gorilon,"@CarlosMaslaton Y si,, kirchnerismo o siombrilla larreta es lo mismo, y como vos militas kirchnerismo porque sos ki… https://t.co/pB5AMMUxJq"
55,JulioPangaro,"RT @AgenciaTelam: Informe de la Auditoría porteña | Descubren ""múltiples irregularidades"" en las compras que hizo Larreta por la pandemia h…"
56,Maria05362846,"RT @Ojo_Kritico: 🚨Todo muy lindo el video de Roswell en el Sur pero con todo ese verso cierra grieta y la plata que despilfarró , Pato Bull…"
57,adapd1,RT @Marsilva_2014: @JorgeFaurie Qué desilusión leer este tweet. Por qué promover a un hombre que claramente no llena las expectativas de lo…
58,Moniquebaires,"Viendo parte del video de Larreta, me acordé de este temazo de Interpol!!https://t.co/iEuv5twn79"
59,rickyatila,"RT @BastaPosta: De llamarlo ""Sombrilla Larreta"" a nombrarlo intendente en su tuit. De considerarlo ""el máximo enemigo de la política"" a ir…"
60,ChinchuEl,"RT @BastaPosta: De llamarlo ""Sombrilla Larreta"" a nombrarlo intendente en su tuit. De considerarlo ""el máximo enemigo de la política"" a ir…"
61,garrameesta,@slospennato Nosotros no elegimos a Larreta.
62,Fortunate1512,"RT @PregoneroL: Estatista, dirigista, antiliberal, antiagro, pro sector público tamaño monstruo, pro empresaurios, pro impuestos, pro ñoqui…"
63,HoracioArturoM2,"RT @PregoneroL: Larreta es vicepresidente en LATAM del C40. Según sus documentos oficiales, los objetivos del C40 para el año 2030 son 0kg…"
64,AndradaCarlos8,"RT @ClickerJos: ¿Dónde está Arshak? LARRETA, HACETE CARGO."
