,Usuario,Tweet
49,kvng_morgan,RT @goal: Lionel Messi and Kylian Mbappe are even in the last two World Cups 🤯 https://t.co/IWo24ndz2c
50,raoul_borg,RT @Mxhbappe: Lionel Messi - Road to the World Cup finalhttps://t.co/zjXni8wfeV
51,lino_vey_marvel,"RT @Deku971_afo: Ils ont dit que griezmann fait une meilleure cdm que messi mdrrrrrrrrrrrrrrrrrrrrrrrrrrr. Tu mets messi dans cette EDF, il…"
52,Luck_njr,RT @futnostalgico: 🇦🇷 A reação de Maradona com a estréia de Messi na Copa do Mundo em 2006.Nostálgico!  https://t.co/fgVvQgCTKM
53,cry4love2233,RT @goal: Lionel Messi and Kylian Mbappe are even in the last two World Cups 🤯 https://t.co/IWo24ndz2c
54,pmJHSKbAoxexT7v,RT @goal: The power of Lionel Messi 🐐 https://t.co/N6m9QGOxB5
55,Dinamo73297419,RT @arielipillo: Highlights del Mundial de Messi con Argentina 🇦🇷 Ahora si Boludos : Descripción Grafica de la #FIFAWorldCup https://t.…
56,Bathand73141947,"RT @BudweiserSA: 🐐 Who else?With a goal and a recording breaking assist, Lionel Messi etches his name in the history books once again.W…"
57,flavioagb05,RT @goal: Lionel Messi and Kylian Mbappe are even in the last two World Cups 🤯 https://t.co/IWo24ndz2c
58,OohLalaFootball,"RT @MessiStats_: Messi's 1-0 against Croatia in the semi-final of the World Cup was his 2⃣0⃣0⃣th opening goal for clubs and country:1,002…"
59,faroukalqudamy,ما هما الميتتان اللتان يجوز أكلهما بدون إثم ؟ يحرم الدين الإسلامي أكل بعض الأشياء ، بما في ذلك القذرة والميتة ، حفا… https://t.co/I4cTBQNPpp
60,JoaoMaruche,Maradona na frente do Messi e Garrincha na do Zico pelo fator copa do mundo
61,TRUSTGODONLY29_,RT @goal: Lionel Messi and Kylian Mbappe are even in the last two World Cups 🤯 https://t.co/IWo24ndz2c
62,csantoss06,"@salahlive70 @__cuticuti_ @henriquedemeno1 @Apenasfactos_ @maumedeiros10 @oficialsincerao Pra esse imbecil aí, o Bu… https://t.co/jSZxi0W7Fz"
