long,lat,id,tipo,calle_auto,altura,km,velocidad,direccion_,calle_norm,intersec_1,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.43738749,-34.54909479,140,CINEMOMETRO FIJO MULTICARRIL,Av. Leopoldo Lugones (descendente),0,"Km 7,6",100,,,,BELGRANO,13,,
-58.52616125,-34.63558851,141,CINEMOMETRO FIJO MULTICARRIL,Au. Perito Moreno,0,"Km 0,5",100,,,,LINIERS,9,,
-58.4793284,-34.6776694,142,CINEMOMETRO FIJO MULTICARRIL,Au. Dellepiane (ascendente),0,"Km 1,15",100,,,,VILLA LUGANO,8,,
-58.4789534,-34.6775994,143,CINEMOMETRO FIJO MULTICARRIL,Au. Dellepiane (descendente),0,"Km 1,15",100,,,,VILLA LUGANO,8,,
-58.47461077,-34.6687468,144,CINEMOMETRO FIJO MULTICARRIL,Au. Dellepiane (ascendente),0,"Km 2,3",100,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. Y MIRALLA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,MIRALLA,VILLA LUGANO,8,,
-58.47461077,-34.6687468,145,CINEMOMETRO FIJO MULTICARRIL,Au. Dellepiane (descendente),0,"Km 2,3",100,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. Y MIRALLA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,MIRALLA,VILLA LUGANO,8,,
-58.52686824,-34.63508852,146,CINEMOMETRO FIJO MULTICARRIL,Au. Perito Moreno (descendente),0,"Km 0,3",100,,,,LINIERS,9,,
-58.41680125,-34.56234085,147,CINEMOMETRO FIJO MULTICARRIL,Av. Leopoldo Lugones (descendente),0,"Km 4,9",100,"LUGONES, LEOPOLDO AV. Y DORREGO AV.","LUGONES, LEOPOLDO AV.",DORREGO AV.,PALERMO,14,,
-58.41680125,-34.56234085,148,CINEMOMETRO FIJO MULTICARRIL,Av. Leopoldo Lugones (descendente),0,"Km 4,9",100,"LUGONES, LEOPOLDO AV. Y DORREGO AV.","LUGONES, LEOPOLDO AV.",DORREGO AV.,PALERMO,14,,
-58.43834337,-34.54826676,149,CINEMOMETRO FIJO MULTICARRIL,Av. Intendente Cantilo (ascendente),0,"Km 7,55",100,,,,BELGRANO,13,,
-58.37552616,-34.64403383,150,CINEMOMETRO FIJO MULTICARRIL,Au. Arturo Frondizi (ascendente),0,"Km 3,0",100,,,,CONSTITUCION,1,,
-58.377513,-34.63473747,151,CINEMOMETRO FIJO MULTICARRIL,Au. Arturo Frondizi (descendente),0,"Km 2,0",100,,,,BARRACAS,4,,
-58.38069783,-34.6229028,152,CINEMOMETRO FIJO MULTICARRIL,Au. Arturo Frondizi (ascendente),0,"Km 0,5",100,,,,BARRACAS,4,,
-58.48377614,-34.64639603,153,CINEMOMETRO FIJO MULTICARRIL,Au. Perito Moreno (Acendente),0,"Km 4,9",60,,,,PARQUE AVELLANEDA,9,,
-58.4451702,-34.56006368,154,CINEMOMETRO FIJO MULTICARRIL,Av. Del Libertador (descendente),5666,,60,DEL LIBERTADOR AV. 5666,DEL LIBERTADOR AV.,LA PAMPA,Belgrano,13,1426,C1426BXR
-58.44199159,-34.56205309,155,CINEMOMETRO FIJO MULTICARRIL,Av. Del Libertador (ascendente),5275,,60,DEL LIBERTADOR AV. 5275,DEL LIBERTADOR AV.,MANZANARES,Belgrano,13,1426,C1426BXA
-58.44926074,-34.54266691,156,CINEMOMETRO FIJO MULTICARRIL,Av. Leopoldo Lugones (descendente),0,"Km 8,7",100,,,,BELGRANO,13,,
-58.42009505,-34.56541276,157,CINEMOMETRO FIJO MULTICARRIL,Av. Dorrego,3700,,60,DORREGO AV. 3700,DORREGO AV.,,Palermo,14,1425,C1425GBN
-58.42849058,-34.59874475,158,CINEMOMETRO FIJO MULTICARRIL,Av. Estado de Israel,4460,,60,ESTADO DE ISRAEL AV. 4460,ESTADO DE ISRAEL AV.,ROCAMORA,Almagro,5,1185,C1185AAQ
