,Usuario,Tweet
46,robestirac,RT @florcarignanook: Asi nos esta vigilando la policia de Larreta. #SacaLasVallasLarreta https://t.co/XZcJ2Pa0XM
47,HectorCharito,@PatoBullrich Pero patito... si el embaraza mujer ajena de larreta queria eso...! .. no seas hipocrita! .. cuando vos… https://t.co/sVHP07YuyF
48,lucas30665359,"RT @sanchez_marcelo: Porqué no se van a vivir a Venezuela, Cuba o Corea del Norte si les gusta tanto el socialismo, viven del trabajo ajeno…"
49,straneo_ivan,"RT @ElCara333: @VivianaaFerrari Ojo Vivi que si Larreta manda cargarlos bien a palos , ellos mandan a otro que lo mate en la revuelta y le…"
50,LaQuirez,"RT @ibanezsoy: El backstage del mensaje de HRL.1. Mientras hablaba Larreta, atrás -acodadas a la baranda- estaban las lilitas Oliveto y Z…"
51,enzoed1,RT @intisumaj2: Desde cuando Horacio Larreta es custodio del espacio público. Lo hacia más custodio de la baldosas de la Ciudad.🙄
52,DnAkd2947,Gravísimo: Grabois denunció que Larreta detuvo a diputados nacionales ilegalmente https://t.co/V3PcIKzQOK
53,8620Viera,RT @GFrondizi: @PatoBullrich Es hora de separar la paja del trigo patricia No podemos seguir con larreta manes stolbizer y cía
54,PPperonoelsapo,RT @MoreauLeopoldo: Larreta el principal proveedor de espias al gobierno de Macri rodeado de Vidal ( la de la Gestapo ) y su socia en el PA…
55,Betelge28549974,"RT @danyvilar: La policía de Larreta reprimiendo una manifestación absolutamente pacífica, generando violencia, deteniendo dirigentes y fil…"
56,walkiride,"RT @cmarcelosantil1: Larreta debe ser destituido de su cargo , él  manda a reprimir a la gente. Utilizó  capturas de imágenes ilegales sobr…"
57,arxionun,RT @mariacampi5: TOTALMENTE DE ACUERDO LARRETA NO ES SANTO DE MI DEVOCIÓN PERO EN ESTA NO ES CULPABLE
58,LaloAragonOk,RT @pagina12: Denuncian a Horacio Rodríguez Larreta por espiar a los manifestantes que apoyan a CFK | Presentación de la Bicameral de Intel…
59,elcondor25,RT @JorgeTaiana: El vallado de Larreta es una provocación grosera al peronismo y una amenaza de aislar y querer acallar a @CFKArgentina htt…
60,lucacciniraul,"Che gorila, a quien le tenes que agradecer que hoy vas a dormir? Si si, a @CFKArgentina , porque si fuera por Larre… https://t.co/O7S6uxWPrG"
61,GabrielKorrigan,"RT @LapadatHugo: Larreta, mandaste la cana, pusiste vallas, llevaste camiones hidrantes, tiraste gas, pusiste de querusa 2 volquetes, quisi…"
62,elpasquin88,"RT @patoenero: No, no .. ni Nelson Castro ni Duggan estaban ahí comiendo...Ni bromatología, ni NADA! ! !  A mí me hicieron la vida imposible…"
63,RuizCalixto,RT @MaximoKirchner_: Lo de Larreta es una vergüenza. https://t.co/ZcWK900jQn
64,kkblock,RT @VillarruelDario: Hablo Horacio Larreta. No acepto preguntas. Un mentiroso serial. Acusa a CFK que no convocó a nadie.   UNA VERGUENZA.…
65,19Ivan2,"RT @martinapikante: Larreta:""No vamos a permitir la violencia""  Larreta, mentiroso👇👇👇👇👇👇👇👇👇👇 https://t.co/ZmEVeBcKFH"
66,Diegoahumado,RT @VillarruelDario: Mañana en Secreto de Sumario...como se armó el vallado ...quien y como llevaron las piedras en contenedores ...y ademá…
67,Silmartinez10,Audio de la policía y @horaciorlarreta El gobernador de la Provincia de https://t.co/ZvdXBWLK4O @Kicillofok es un… https://t.co/5DLgAA0cO2
68,sebaneo1981,"@GarbarzAriel Jajaja me meo, el malo es Larreta por poner piedras cerca (supuestamente), no los que las tiran jaja.… https://t.co/1VHhFeHV3k"
69,cdrivarola,RT @VillarruelDario: Mañana en Secreto de Sumario...como se armó el vallado ...quien y como llevaron las piedras en contenedores ...y ademá…
70,jbattigelli,RT @infonews: FOTAZAS de @sierras_marcos  sobre la represión de la Policía de @Larreta en Recoleta. 👏Impresionante trabajo en una jornada h…
71,jonatanbaldivie,"""Plan Organizado de ocupación del Espacio Público""@horaciorlarreta A pesar de una orden judicial, Larreta no pid… https://t.co/TXDo9DXvGL"
72,agseijo1,RT @CrissBal80: Larreta pelotudo si te importa la policía decinos porque espiaste al desaparecido policía  Arshak karhanyan. Es tu responsa…
73,NoemiCa54046528,"@MrTordox @horaciorlarreta Si pensas un poco, la estrategia del equipo de Larreta fue  muy buena. Le pasó la respon… https://t.co/8cFIer2egM"
74,germanangelaran,"RT @BrissioMauro: Mauricio Macri miente, @CFKArgentina no promueve el caos.Hoy vi como la policía de Larreta le llenaba la cara de gas pim…"
75,luisjmayorga,"RT @MartinGrandeok: Bien por Horacio Rodríguez Larreta ,hay que bancar a los vecinos, al que no le guste que se vaya a Venezuela https://t.…"
