,Usuario,Tweet
42,GusBancalari,"RT @lilianasirne: Todos hablan, insultan y le piden al presidente el indulto a Milagro Sala. ¿Alguien se pregunto que quiere Milagro Sala?…"
43,mamitaposho,RT @MacaPR: el país pasando por una situación complicada y lo más importante la agenda del titular del PEN es ir a visitar a una presa con…
44,pescau41,"RT @Guadi_Pelosista: Mauricio Macri se ve con Mario Vargas Llosa, Alberto Fernandez con Milagro Sala. No somos lo mismo."
45,jetrios1,RT @javierlanari: No se conmovió por Abigail. Tampoco por Solange. Menos por Lara. No mostró ni un gramo de empatía y solidaridad. Por Mila…
46,VivianaDepaoli,"RT @pietragallahora: La situación de salud de Milagro Sala tiene que ser un punto de inflexión ante la persecución política, judicial y med…"
47,FabianaArjo,RT @juntoscambioar: Juntos por el Cambio repudia enérgicamente la decisión del presidente Alberto Fernández de cancelar su agenda para viaj…
48,La_vengadora,"RT @madorni: La mitad del país es pobre. El dólar se dispara, se trabaron las importaciones y no hay gasoil (necesario para que el 90% de l…"
49,josefmgr1,"RT @GuilleLobo: Milagro Sala: Internada en el Sanatorio Privado Lapachos, propiedad del Candidato K Manuel Quintar. Mañana La Corte designa…"
50,yoyilu,"RT @gucciflv: 😸Mauricio Macri en Qatar con Gianni Infantino y Alberto Fernandez en Jujuy con Milagro Sala. 

Cada uno elige quién lo repres…"
51,gloriarancibia7,"RT @kidlapicera: “Degolló a mis perros, golpearon salvajemente a madre”
Milagro Sala es una delincuente.
Escuchen a ésta víctima de la chor…"
52,Valeria01168391,RT @maria_casabal: Testmonios espeluznantes de los maltratos de Milagro Sala a los jujeños en @lanacionmas con @edufeiok
53,hugoncorrea,"RT @DanteOpito: Alberto fue el único que paso las fiestas con Milagro Sala 
Ahora esta yendo a la Clínica a verla...
Es mucho mas que un ge…"
54,VivianaDepaoli,RT @CSocialistaArg: Muy pocas personas lograron hacer transformaciones reales como las que hizo Milagro Sala para el pueblo en Jujuy. Por e…
55,MonySan16287442,"RT @javierlanari: Si hacen todo este circo berreta con Milagro Sala, imaginen lo que puede llegar a ser si condenan a Cristina a prisión ef…"
56,MaraMarajulio,"RT @CarlosRozanski: Miércoles 29 de junio de 2022. Macri, Stornelli y su banda seguirán en libertad y Milagro Sala presa y enferma!. Decisi…"
57,tucumano_k,RT @eldestapeweb: Jujuy: la vergonzosa respuesta de Gerardo Morales a Alberto Fernández por la visita a Milagro Sala https://t.co/5avVxk08mJ
58,a_kukas,"RT @lauritalonso: Porque pasaron estas violaciones a derechos humanos y otras que, por miedo, muchos no se atreven a contar, Milagro Sala e…"
59,CVR23560,"RT @Rivadavia630: #AhoraEnRivadavia | Gerardo Morales: ""El 90% de la población jujeña que vivió 15 años de torturas, sabe quien es Milagro…"
60,Afrodit17427920,"RT @vivaroca2015: Alberto Fernández visita a Milagro Sala, es lo más importante que tiene para hacer exceptuando alimentar a Dylan y organi…"
61,PabloTo84634279,RT @soymaraok: Dice Milagro Sala que a todes sus cumpas feliz día del Orgullo. https://t.co/rOjYogj8lz
62,ca_maxima,RT @javierlanari: Lo de Alberto con Milagro Sala sería un intento de avallasamiento del Poder Judicial si se tratara de un Presidente con a…
63,CodinaGerardo,RT @SicardiAnibal: La intimidad del encuentro entre Alberto Fernández y Milagro Sala  https://t.co/y9u9zAQpL7 a través de @ecupres
64,Rubenoscaraguir,"RT @maquialifraco: Para Milagro Sala el Presidente, el Secretario de DDHH y el Presidente de la Comisión de Relaciones Exteriores. Para Lar…"
65,pablix1970,"RT @vivaroca2015: Mientras estamos entretenidos con Alberto y su visita a Milagro Sala, en el Senado ya hay dictamen para llevar a 25 el nú…"
66,CarlosDeMarco6,"RT @hijos_capital: Ante la situación de salud de Milagro Sala, presa política del gobierno del ex presidente Mauricio Macri, del gobierno d…"
67,Laxeneice_K,RT @jramospadilla: https://t.co/5vsugaEJnr
68,Iiliross1712,RT @Clon_45: Las fotos del remisero con la mega delincuente Milagro Sala desbloquearon un nivel de desprecio y repugnancia que hasta acá de…
69,OsvaldoCentro,"RT @patoplanet: Se recibió el primer ingeniero espacial en argentina, 24 años tiene  el chico, pero Alberto recibe a L gante y visita a mil…"
