,Usuario,Tweet
40,ClaudineiRSanto,"RT @JoseRob24292774: Portugal, e Bolsonaro. https://t.co/A8L8ickSOE"
41,zebedeudascoves,RT @diImabr: Chocada que empatamos em Israel… Bolsonaro ganhou com vantagem gigantesca em 2018 e contava a aliados que iria vencer com 80%…
42,B7alf_vd,RT @JornalOGlobo: Bolsonaro é recebido por 4 apoiadores ao voltar a Brasília após votar no Rio https://t.co/6GYKd5KJpm https://t.co/YYTQ1rE…
43,ANTONIO29792513,"RT @henriolliveira_: NÓS SEMPRE DISSEMOS que DANIEL SILVEIRA era o VERDADEIRO candidato de BOLSONARO.Nos acusaram de ""ajudar o MOLON"" e e…"
44,AperCristao,"Pastor Ricardo Gondim declara apoio a Lula e critica BolsonaroAjuda aí, nos segue!  #jesus #cristaos #cristao… https://t.co/kCOiyLW9F4"
45,saicorrupto,"RT @Pr_AlexandreGon: Boa tarde para tds os nacionalistas, trabalhistas, brizolistas q desejam fazer o país q Darcy Ribeiro e Alberto Pasqua…"
46,MarcosFlaRJ78,"RT @franflores1818: Sou pequena aqui mas preciso compartilhar. Em 2018 dava pra contar nos dedos de 1 mão os eleitores do Bolsonaro aqui, T…"
47,ttggeo,RT @b99bra: ￣￣￣￣￣￣￣￣￣￣￣|                FÃ DE   BROOKLYN NINE-NINE             NÃO VOTA                   NO           BOLSONARO…
48,ana_pamhonha,RT @evellynkethryn7: não tá escrito o ódio que eu tenho da bandeira do Brasil ter virado símbolo do Bolsonaro.
49,notori3dade,Bolsonaro 22. Na Ásia no Japão já venceu com 70%.2️⃣2️⃣🇧🇷🇧🇷🇧🇷 @jairbolsonaro @neymarjr #VoteBolsonaro22… https://t.co/w2hnBk9gyq
50,Nicoly9Nicoly,"RT @Bruno__Rogers: Em Belém do Pará tá tudo LOTADO de Verde e Amarelo. 😍😍🇧🇷🇧🇷🇧🇷🇧🇷#BolsonaroReeleitoEm2022 #BolsonaroNoPrimeiroTurno, #Vai…"
51,GiovannaPeruzz3,Base do SP em peso declarando voto pro Bolsonaro.Base do Palmeiras em peso declarando voto pro Lula.Como é bom s… https://t.co/7Fjb5A4u5p
52,DudaMezencio,"RT @vini_vecchi: Me enoja ver pessoas que perderam familiares pra covid por falta de vacina, apoiando o bolsonaro 🤮"
53,yoonapetit,RT @StepsYulk: ￣￣￣￣￣￣￣￣￣￣￣|                FÃ DO                SNSD             NÃO VOTA                   EM           BOLSONARO…
54,____Zac_____,"Urnas em Atenas, Grécia: Bolsonaro: 48% e Lula 37%Pra efeito de comparação em 2018 Bolsonaro teve 60% e Haddad 8%… https://t.co/R9mqkHkyqZ"
55,agapesolar10,@grazianopascale @graciela266 Los que vemos y oímos sabemos que BOLSONARO tiene la aceptación de la mayoría de bras… https://t.co/sHnyH73kNr
