,Unnamed: 0,Usuario,Tweet
44,44,AnaNoemiRivas,@CFKArgentina Cristina 2023 ❤️
45,45,JoseGuima,RT @AIertaMundiaI: 🇦🇷 | LO ÚLTIMO: El jefe de gobierno de la ciudad de Buenos Aires Horacio Larreta se pronunció y defendió a la Policía…
46,46,9griega,RT @sebatate89: @monsemarinph Avisenle a ésta boludita que Cristina está a punto de hablar en la puerta de su casa. Quien le pasa info? @ed…
47,47,jmobrvan,RT @PatoBullrich: Con diputados nacionales presentamos en Tribunales una denuncia criminal contra el presidente Alberto Fernández la vicep…
48,48,CarmenE00385766,"RT @tanomdq86: Cristina ""No abandonemos nuestras convicciones y ese indestructible amor a la Patria que nos une a todos y a todas"" #TodosCo…"
49,49,Rodolfo10440319,RT @PrensaMadres: A los nuestros mujeres y hombres de todas las edades los mueve el amor a la Patria y a Cristina Fernández de Kirchner.…
50,50,NoMorePeronism,RT @_NicoDelRojo: Nadie: La vecina de Cristina hoy a la noche: https://t.co/9eZLgjLjH7
51,51,josecdvd,"RT @LaEntrerriana10: Lo conocen?? Sergio ""pato"" Urribarri ex embajadador en Israel condenado por corrupción apoyando a Cristina entiend…"
52,52,ARetunrs,RT @SusanaDAndrea: #TodosConCristina. La vecinita de Cristina va a tener que ir a declarar por cómplice de espionaje a la expresión de los…
53,53,ValEscribeSur,@mayrasmendoza @LuciaPortos Cristina es la patria 💜
54,54,ElCronistacom,Cristina Fernández pide a seguidores que vayan a descansar tras tensa jornada https://t.co/IKeV8GvAxp
55,55,guillecersosimo,RT @gmilman: La paz social se garantiza con orden y Justicia; y el monopolio de la fuerza debe ser siempre del Estado nunca de una secta.…
56,56,Nestor714209241,RT @jotaalonso: El 17 de Cristina.La derecha está absorta. CFK habló en un acto en Recoleta. En el barrio de quienes le desean la muerte.…
57,57,Victor42181342,RT @AgenciaElVigia: AHORA En Madrid | Argentinos que viven en el exterior agrupados en @ARGprovincia25 se manifiestan en favor de Cristina.…
58,58,xcochoa59,RT @manupeulate: Mi solidaridad con los oficiales de la Policia de la Ciudad heridos en Recoleta el dia de hoy. Cristina Kirchner y sus fan…
59,59,FrancescaBisse_,RT @atlanticsurff: Que todo el mundo vea cómo los militantes Kirchneristas le tiran piedras y botellas a los Policías para poder estar en l…
60,60,MMG91650758,RT @David_cu_: ALERTA! !  ...la policía macrista de la Ciudad de Buenos Aires sitió la casa de Cristina Fernández llenó las calles de vallas…
61,61,smpdoc,RT @LanataPPT: 🔴PAPELÓN Poca gente apoyando a Cristina: Un funcionario debió truchar una foto cortandola y pegándola 3 veces para simular m…
