,Usuario,Tweet
44,vil345,"RT @laurmachado: ¡LA MITAD DEL PAÍS SIN LUZ! Hoy dijo el presidente: ""Argentina producirá la energía que el mundo está necesitando"" y, en e…"
45,Soy_Chuchu_Rec,"#SinLuz en Parque Chacabuco, al menos pusieron empleados municipales a dirigir el tránsito. https://t.co/4XnVHFXKNV"
46,Tomycespedess,"RT @ArielRiverAriel: #SinLuz Un día sos campeón del mundo, al otro día ganas cuatro premios The Best y al siguiente se queda sin luz todo…"
47,e_campanela,RT @CNNArgentina: La Sec. de Energía informó que el sistema interconectado de energía nacional registra “varias fallas” por un incendio en…
48,avellaneda_real,La explicación oficial Un incendio 🔥 en la red eléctrica obligó sacar de funcionamiento #Atucha I y Central Puert… https://t.co/bNMdPBoa86
49,SelnookTheKitty,"RT @Juanmatino: AHORA: Esto es en Argentina, el Obelisco. El corte de luz fue a causa del consumo excesivo de electricidad para abrir un…"
50,claudia_perazo2,RT @ElOdiadorSerial: Si algo le faltaba al 4to gobierno kirchnerista era que se les caiga Atucha 1 y dejen a mitad de país sin luz ¡VIVA PE…
51,DaiBenitz,RT @RicBenedetti: #SinLuz apagón masivo en Argentina y Alberto Fernández... 👇🤦‍♂️🤷‍♂️ https://t.co/gSZJpxCXdd
52,unacuervatesalu,RT @lafasolo: #SinLuz https://t.co/bzYMO92L6v
53,hernanlgd,"RT @alfredocornejo: Hoy @Alferdez habló, mejor dicho, mintió sobre lo maravillosa de su gestión. Mientras tanto medio país está sin luz. Da…"
54,shuli69618341,"RT @maiarjs: #SinLuz, sin agua, sin batería en el celu y con tremendo calor, soy esto: https://t.co/xVKmlOlUeg"
55,LalliiAlejo,RT @facujperezarg: Hace algunas horas el Presidente Alberto Fernández habló de nuestra capacidad para gozar de autoabastecimiento energétic…
56,sergor666,RT @elisamas1: Apagón Nacional y Popular.Todes #SinLuzSeguí ✌otando 💩 https://t.co/wzflCU7N5Z
57,Naru_The_Crow,"RT @BejaranoYalita: Hola, soy la pava tradicional. Tal vez me recuerden cuando hay corte de luz y como ""Prendé la hornalla y poné la pava"",…"
58,juaniese,La temperatura sube de 30 grados.Las centrales nucleares:#Sinluz https://t.co/SgdceQUR3p
59,_micaelaleguiza,RT @mcger_: Dónde está la banda del verano? Adoradores del calor?#SinLuz#apagon
60,__MEISTAKE,"RT @Marcelo24_8: En fin ..... es sin asado, heladera vacía, 50% de pobreza, 94% de inflación y con 36 grados todo el país sin luz.Gracias…"
61,bubaacrypto,#SinLuz y Sinagua en todo Lanús es un desastre.
62,AbiGranerosx,RT @maritaporta02: #SinLuz
63,ayecate,RT @facujperezarg: Hace algunas horas el Presidente Alberto Fernández habló de nuestra capacidad para gozar de autoabastecimiento energétic…
64,lena_claseMe,RT @ger77akd: Lo que produjo el corte #sinLuz
65,alberti28161100,RT @elisamas1: Apagón Nacional y Popular.Todes #SinLuzSeguí ✌otando 💩 https://t.co/wzflCU7N5Z
66,GorilaconLMC,Convengamos que Alberto @alferdez es un político apagado.Hace juego!#apagón#atucha #SinLuz
67,jorgegarzonn,RT @jorgegarzonn: Atucha a esta hora #apagón #SinLuz #CorteDeLuz https://t.co/OdWxfHcvta
68,Horacio89570984,RT @_GermanGerman: #Atucha1 en estos momentos#SinLuz #EstaPasando https://t.co/5O1aBNC5NR
69,annannas1858,#SinLuz y cuando vendría la luz a hacerse presente 🙄
70,6ta_cuenta,RT @MicaelaDeJota: Alberto Fernández: “Argentina es la energía q necesita el mundo”2 horas más tarde Argentina se queda #SinLuzEl chiste…
71,m_euge1,RT @facujperezarg: Hace algunas horas el Presidente Alberto Fernández habló de nuestra capacidad para gozar de autoabastecimiento energétic…
72,GuadyMont,RT @MarianoCLopez: Aprovecho el #apagon para poner la foto de Macri junto a Messi así los K tienen el doble de sensación térmica que el res…
73,HECTORFERRARI59,RT @denaon: #SinLuzHAYQUEHACERLOSMIERDA https://t.co/AMW26mkdk0
74,Mabby64,RT @v4ngelo: #SinLuz en Cordoba
75,julifiguer0a,RT @eduardogel19: Último momento!!!Así se originó el #CorteDeLuz #SinLuz https://t.co/oOrWBEuwC1
76,CookDanGarcia,RT @facujperezarg: Hace algunas horas el Presidente Alberto Fernández habló de nuestra capacidad para gozar de autoabastecimiento energétic…
77,pareces,¿Por qué no renuncia la Cris y Alverso? #SinLuz #ApagonK #CorteDeLuz https://t.co/WDsvxT1Xox
78,fernan3ox,"RT @Vale_mza93: Oigan tengo una idea, juguemos a algo para pasar el tiempo. Yo hago el sonido de un animal y ustedes tratan de adivinar cuá…"
79,DaemonDemian,"RT @SoySopita: Alberto Fernández: ""Argentina es la energía que necesita el mundo""Argentina: *se cae Atucha I, se corta la luz y el agua e…"
80,Norasalvarado,RT @DEBORAHKAHAN1: ¿Alberto.. cómo era eso de que somos la ENERGÍA para el mundo?#Apagon#SinLuz
81,Gustavo14496889,"#SinLuz Todo hacen mierda, kirchneristas del orto hdp. LaKras.😡🥵🔥"
82,hannareyn1,RT @ScandoloNicolas: Se corta la luz a nivel nacional y las pocas estaciones de servicio que funcionan están abarrotadas. Me siento como en…
