,Usuario,Tweet
46,TomiMercado31,RT @Aguirremarrttu: viste que quisieron matar a cristina? dormimos juntos?
47,ChrisNabugere_,"RT @ukigoni: Assasination attempt on Argentina’s vicepresident Cristina Kirchner, gun fails to fire. Assailant, 35-year-old Brazilian, has…"
48,mariano_spina,"@Sietecase entiendo la dificultad de la movilización conjunta, pero una foto de todxs lxs presidentxs de las fuerza… https://t.co/rDH76fBYnf"
49,Priscil26437045,"Viste lo que pasó con Cristina?, Bueno, te extraño..."
50,universidad891,"#ParoNacional #CFK🗣️""LA INTERVENCIÓN DE DIOS HACE QUE CRISTINA ESTE VIVA""Luis D'Elia , político.🔗… https://t.co/YJXGUBh7ZF"
51,NahuuMontes,RT @lucio2da: nestor escribiendole desde el cielo a cristina https://t.co/hNZK1fwZ97
52,XimenaMoreira17,RT @avril_navarroo: cristina después de que no salga la bala: https://t.co/o4Z43iIZfm
53,jacomenes,RT @leandroruschel: Já culparam Bolsonaro pela aparente tentativa de assassinato da Cristina Kirchner?
54,SKommunismus,RT @lucasrohan: Hoje mesmo a segurança de Cristina foi reforçada e a oposição odienta questionava a medida. Mesmo com segurança reforçada i…
55,EdgarBalaguera,Cristina Fernández está viva de milagro. La pistola del tirador falló cuando apuntó directo a su rostro. Hubiese… https://t.co/ZbIfRSQCaH
56,14Lopezuriel,RT @avril_navarroo: cristina después de que no salga la bala: https://t.co/o4Z43iIZfm
57,molinaasanti31,RT @0800_Cj: Massa mientras estan todos pendientes de Cristina: https://t.co/tYhQnFNvAu
58,jordircde21,RT @europapress: 🔴 Argentina declara este viernes 2 de septiembre día festivo en todo el país para que los argentinos puedan salir a las ca…
59,HENDRYSNOEL,"RT @Nelsonpvzla1: El chavismo celebra el día del golpe de estado fallido el 4F, celebra el día que el ""dron"" falló contra Maduro y en #Arge…"
60,RiveraTegy,RT @MartMurdock_cai: Nisman viendo desde el mas alla como casi matan a Cristina pero al final no la mataron https://t.co/DTW2rtJXOU
61,TheSirMarian,"RT @SuperSecretario: Agosto 2016 @CFKArgentina denunció a @PatoBullrich por filtrar sus datos personales, los de su hija y detalles de su c…"
62,ignaciocasve,RT @PeladodeCronica: Un tipo le disparó a Cristina a 10 centímetros de la cara y le erró. Sospechan de Benedetto.
63,IngGalo,RT @Mamonymex: ¿Así o más pendejos la derecha de América Latina?Pendejos hasta para atentar en contra de Cristina Kirchner o cualquier lí…
64,cadulorena,"RT @jchaloub2: 3-que liderou as investigações sobre Cristina"". A jornalista ainda afirma: ""A violência está no ar na Argentina, e não é de…"
65,RomualdCedr,"RT @Youridefou: Tentative d'assasinat sur l'ancienne présidente d'Argentine Cristina Kircher, mais l'arme du tireur n'a pas fonctionné...😳…"
66,carloscachona,RT @vuthy2Iiving: A los oligarcas les interesa el auge de la uItraderecha. Sus medios blanquean su discurso. Aquí nos dicen que somos 26 mi…
67,nosoyfachito,RT @ernestorr: The Guardian pone el contexto adecuado que algunos medios argentinos deliberadamente e interesadamente esquivan: alimentaron…
68,traplev,"RT @renato_rovai: Pouco importa se Fernando que tentou matar Cristina Kirchner é bolsonarista, a questão é que a extrema direita é hoje fen…"
69,contalve,RT @mauriciomacri: Mi repudio absoluto al ataque sufrido por Cristina Kirchner que afortunadamente no ha tenido consecuencias para la vicep…
70,Luneritadelsol,RT @almapastore_: el brazuca q no llego a matar a cristina pero consiguió feriado nacional https://t.co/RjzVoVZYko
71,Cristina_inf21,RT @fallvibes: 《fall decoration》 https://t.co/16UN02N84H
72,FilosofismaArg,RT @dilmabr: O atentado contra a vida de Cristina Kirchner — @CFKArgentina — por um brasileiro armado merece o repúdio do mundo inteiro. O…
73,StangretT,RT @Peronia_City: Por lo sucedido a Cristina volvemos a fase 1 de aislamiento desde mañana viernes.
74,_felipederoque_,RT @avril_navarroo: cristina después de que no salga la bala: https://t.co/o4Z43iIZfm
75,masencarnacion,Hallaron 100 balas en la casa del hombre que intentó asesinar a Cristina Kirchnerhttps://t.co/blKIcVhDVs https://t.co/IaTydTIiB6
76,NancyMejas5,"RT @dcabellor: La derecha es así, el fascismo es así, la receta del imperialismo es que si detienen a los líderes populares regresan con má…"
77,orii_vicente,RT @0800_Cj: Massa mientras estan todos pendientes de Cristina: https://t.co/tYhQnFNvAu
78,BraiZeltmann,Un tipo le disparó a Cristina a 10 centímetros de la cara y le erró. Sospechan de Benedetto
79,ClairMarioG,@kimpaim @PatriotaBRJose ué? quem o governo da cristina está matando ? não é uma população inteira da Argentina ?
80,Vandilea_fat,RT @thalescmachado: Tentativa de atentado contra Cristina Krichner não tem nem seis horas e os políticos de diferentes lados já repudiaram…
81,peperusconi,https://t.co/DE5wGuCVFw https://t.co/bOebTro8rQ
82,GiordanoGringo,Izquierda Socialista repudia el atentado contra Cristina Fernández de KirchnerLeé la declaración completa… https://t.co/QcqJMvxaXm
83,Alejand42324393,"RT @aylinalvarezG: La nefasta estrategia de sembrar odio,casi provoca el asesinato de Cristina,es el arma terrible y cobarde de la derecha,…"
84,victorialmazann,RT @avril_navarroo: cristina después de que no salga la bala: https://t.co/o4Z43iIZfm
85,ANANISPEREIRA,"Quem é o brasileiro suspeito de tentar matar Cristina Kirchnerhttps://t.co/Idz8Ev45Rt ""Fernando Andrés, preso a… https://t.co/Pch7yZElkW"
86,KellyEscorcia11,RT @VTVcanal8: Vicepresidenta argentina Cristina Fernández víctima de intento de magnicidio fallido#02Sephttps://t.co/fONTbzfO08 https:…
87,NancyMejas5,"RT @ErikaOSanoja: ⚡️ACTUALIZACIÓN⚡️ | El hombre que intentó matar a Cristina Fernández de Kirchner y fue detenido en flagrancia, es un bras…"
88,NFTBoca,La vecina de Cristina viendo que se le viene otra semana sin dormir  https://t.co/XRsQKj9woQ
89,xqTTs,"""Su intención, creo, que era matarla, pero lamentablemente no ensayó antes."" PERO LAMENTABLEMENTE. Sí, ha dicho est… https://t.co/kaviW7RrbK"
90,CamiLuduenaa,"RT @inakiigutierrez: Feriado nacional porque “le apuntaron” a Cristina con un arma. Todos los días asesinan trabajadores, chicos y gente ho…"
91,carpinate,RT @Usertuiter1: 👇👇👇👇👇casualmente falso atentado de Cristina K después de la visita del asesor de Chávez
92,venceslav,Como identificas que es la derecha quien intento cometer el magnicidio contra Cristina Fernández de Kirchner.Pues… https://t.co/y8qRPhSwCW
